jst_sku_id,skuCode,skuName,category,brand,item_type,format_type
6955631316027,6955631316027,大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631312548,6955631312548,大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631312043,6955631312043,大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631312883,6955631312883,大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631310223,6955631310223,大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631311718,6955631311718,大耳狗(港),成品 - 成品,EMIE,finished_good,13-digit
6955631311220,6955631311220,大耳狗-CN,成品 - 成品,EMIE,finished_good,13-digit
6955631311800,6955631311800,大耳狗-CN,成品 - 成品,EMIE,finished_good,13-digit
6955631312562,6955631312562,大耳狗星星,成品 - 成品,EMIE,finished_good,13-digit
6955631311206,6955631311206,大耳狗星星-大耳狗,成品 - 成品,EMIE,finished_good,13-digit
6955631312951,6955631312951,大耳狗晚安,成品 - 成品,EMIE,finished_good,13-digit
6955631315501,6955631315501,头戴式耳机--暗夜灰Pro,成品 - 成品,EMIE,finished_good,13-digit
6955631315556,6955631315556,头戴式耳机--海洋蓝Pro,成品 - 成品,EMIE,finished_good,13-digit
6955631315549,6955631315549,头戴式耳机--脉动粉Pro,成品 - 成品,EMIE,finished_good,13-digit
6955631312623,6955631312623,小企鹅,成品 - 成品,EMIE,finished_good,13-digit
6955631308503,6955631308503,小粉熊,成品 - 成品,EMIE,finished_good,13-digit
6955631311497,6955631311497,库洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631311251,6955631311251,成人款-CN 0002,成品 - 成品,EMIE,finished_good,13-digit
6955631308671,6955631308671,成品-hellokitty,成品 - 成品,EMIE,finished_good,13-digit
6955631306493,6955631306493,成品-kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631308749,6955631308749,成品-冲浪,成品 - 成品,EMIE,finished_good,13-digit
6955631308589,6955631308589,成品-升级版,成品 - 成品,EMIE,finished_good,13-digit
6955631308619,6955631308619,成品-小粉熊,成品 - 成品,EMIE,finished_good,13-digit
6955631305168,6955631305168,成品-洛杉矶,成品 - 成品,EMIE,finished_good,13-digit
6955631307216,6955631307216,成品-白,成品 - 成品,EMIE,finished_good,13-digit
6955631308367,6955631308367,成品-绿色,成品 - 成品,EMIE,finished_good,13-digit
6955631307834,6955631307834,成品-美少女战士,成品 - 成品,EMIE,finished_good,13-digit
6955631304147,6955631304147,成品-蓝色,成品 - 成品,EMIE,finished_good,13-digit
6955631304635,6955631304635,成品-黑(英文版),成品 - 成品,EMIE,finished_good,13-digit
6955631310551,6955631310551,抱抱熊-,成品 - 成品,EMIE,finished_good,13-digit
6955631311459,6955631311459,抱抱熊-KT,成品 - 成品,EMIE,finished_good,13-digit
6955631310179,6955631310179,招财喵,成品 - 成品,EMIE,finished_good,13-digit
6955631309913,6955631309913,暖暖,成品 - 成品,EMIE,finished_good,13-digit
6955631312753,6955631312753,泰迪兔,成品 - 成品,EMIE,finished_good,13-digit
6955631312975,6955631312975,牛油果绿,成品 - 成品,EMIE,finished_good,13-digit
6955631312616,6955631312616,独角兽,成品 - 成品,EMIE,finished_good,13-digit
6955631309890,6955631309890,甜点独角兽,成品 - 成品,EMIE,finished_good,13-digit
6955631310780,6955631310780,粉-JK girl-,成品 - 成品,EMIE,finished_good,13-digit
6955631312838,6955631312838,粉-小彩虹,成品 - 成品,EMIE,finished_good,13-digit
6955631310797,6955631310797,粉-抱抱熊-,成品 - 成品,EMIE,finished_good,13-digit
6955631310834,6955631310834,粉-樱花-,成品 - 成品,EMIE,finished_good,13-digit
6955631314030,6955631314030,粉-魔法棒,成品 - 成品,EMIE,finished_good,13-digit
6955631312579,6955631312579,粉色,成品 - 成品,EMIE,finished_good,13-digit
6955631312944,6955631312944,粉色,成品 - 成品,EMIE,finished_good,13-digit
6955631316058,6955631316058,红,成品 - 成品,EMIE,finished_good,13-digit
6955631310810,6955631310810,红-和服-,成品 - 成品,EMIE,finished_good,13-digit
6955631312449,6955631312449,绿-小恐龙,成品 - 成品,EMIE,finished_good,13-digit
6941602542755,6941602542755,背带米妮,成品 - 成品,EMIE,finished_good,13-digit
6955631311077,6955631311077,蓝-大耳狗星星-,成品 - 成品,EMIE,finished_good,13-digit
6955631312432,6955631312432,蓝-小企鹅,成品 - 成品,EMIE,finished_good,13-digit
6955631313026,6955631313026,蓝色,成品 - 成品,EMIE,finished_good,13-digit
6955631316041,6955631316041,蓝色,成品 - 成品,EMIE,finished_good,13-digit
6955631304369,6955631304369,蓝色(皮带扣),成品 - 成品,EMIE,finished_good,13-digit
6941602540614,6941602540614,趣玩维尼,成品 - 成品,EMIE,finished_good,13-digit
6941602540669,6941602540669,趣玩草莓熊,成品 - 成品,EMIE,finished_good,13-digit
6955631312555,6955631312555,酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631312876,6955631312876,酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631312647,6955631312647,酷洛米,成品 - 成品,EMIE,finished_good,13-digit
6955631311732,6955631311732,酷洛米(港),成品 - 成品,EMIE,finished_good,13-digit
6955631312630,6955631312630,魔法棒,成品 - 成品,EMIE,finished_good,13-digit
6941602589538,6941602589538,魔法棒儿童相机,成品 - 成品,EMIE,finished_good,13-digit
6955631311299,6955631311299,麋鹿-,成品 - 成品,EMIE,finished_good,13-digit
6955631312968,6955631312968,麦芽棕,成品 - 成品,EMIE,finished_good,13-digit
6955631310612,6955631310612,黄桃相机-,成品 - 成品,EMIE,finished_good,13-digit
6955631316034,6955631316034,黄色,成品 - 成品,EMIE,finished_good,13-digit
6955631316201,6955631316201,黑色,成品 - 成品,EMIE,finished_good,13-digit
EM20240508,EM20240508,"",成品 - 成品,EMIE,finished_good,EM-old
EM20240321,EM20240321,"",成品 - 成品,EMIE,finished_good,EM-old
EM20240528,EM20240528,"",成品 - 成品,EMIE,finished_good,EM-old
EM2024062501,EM2024062501,"",成品 - 成品,EMIE,finished_good,EM-old
EM2024062502,EM2024062502,"",成品 - 成品,EMIE,finished_good,EM-old
EM20250714,EM20250714,"",成品 - 成品,EMIE,finished_good,EM-old
EM20230808001,EM20230808001,"",成品 - 成品,EMIE,finished_good,EM-old
EM20230920,EM20230920,"",成品 - 成品,EMIE,finished_good,EM-old
EM2025011501,EM2025011501,"",成品 - 成品,EMIE,finished_good,EM-old
EM20250716,EM20250716,翻转相机广角镜头,成品 - 成品,EMIE,finished_good,EM-old
EM20240326,EM20240326,防伪标-亿觅防伪标,成品 - 成品,EMIE,finished_good,EM-old
EMIE2025101602,EMIE2025101602,"",成品 - 成品,EMIE,finished_good,EMIE-old
EMIE20190515001,EMIE20190515001,"",成品 - 成品,EMIE,finished_good,EMIE-old
EMIE202100618001,EMIE202100618001,"",成品 - 成品,EMIE,finished_good,EMIE-old
